 18  2 26 16     -8.25     -8.08     80.79      0.00     19.88     -7.25    437.33     23.49     23.38     -0.25      1.23      0.00      0.00      0.00
 19  2 26 16     -8.75     -6.74     67.36      0.00     18.97     -7.25    437.33     23.49     23.38     -0.25      1.41      0.00      0.00      0.00
 20  2 26 16     -9.25     -5.38     53.84      0.00     18.92     -7.25    437.33     23.49     23.38     -0.25      1.69      0.00      0.00      0.00
 21  2 26 16     -9.75     -4.10     40.95      0.00     18.87     -7.25    437.33     23.49     23.38     -0.25      2.16      0.00      0.00      0.00
 22  2 26 16    -10.25     -2.97     29.71      0.00     18.82     -7.25    437.33     23.49     23.38     -0.25      2.91      0.00      0.00      0.00
 23  2 26 16    -10.75     -2.12     21.19      0.00     18.76     -7.25    437.33     23.49     23.38     -0.25      4.00      0.00      0.00      0.00
 24  2 26 16    -11.25     -1.61     16.05      0.00     18.71     -7.25    437.33     23.49     23.38     -0.25      5.18      0.00      0.00      0.00
 25  2 26 16    -11.75     -1.39     13.85      0.00     18.66     -7.25    437.33     23.49     23.38     -0.25      5.91      0.00      0.00      0.00
 26  2 26 16    -12.25   -129.29   1292.95      0.00     18.61     -7.25    437.33     23.49     23.38     -0.25      6.12      0.00      0.00      0.00
  1  2 28 17      0.25      0.00      0.00      0.00     26.96     -7.75    451.68     23.34     21.62     -0.25      0.00      0.00-857041.06      0.00
  2  2 28 17     -0.25      0.00       NaN       NaN     26.96     -7.75    451.68     23.34     21.62     -0.25       NaN       NaN      0.00       NaN
  3  2 28 17     -0.75    -30.31    303.12      0.00     26.88     -7.75    451.68     23.34     21.62     -0.25      6.10      0.00      0.00      0.00
  4  2 28 17     -1.25    -28.29    282.95      0.00     26.81     -7.75    451.68     23.34     21.62     -0.25      0.93      0.00      0.00      0.00
  5  2 28 17     -1.75    -26.41    264.09      0.00     26.73     -7.75    451.68     23.34     21.62     -0.25      0.93      0.00      0.00      0.00
  6  2 28 17     -2.25    -24.64    246.39      0.00     26.65     -7.75    451.68     23.34     21.62     -0.25      0.93      0.00      0.00      0.00
  7  2 28 17     -2.75    -22.97    229.73      0.00     26.58     -7.75    451.68     23.34     21.62     -0.25      0.93      0.00      0.00      0.00
  8  2 28 17     -3.25    -21.40    214.02      0.00     26.50     -7.75    451.68     23.34     21.62     -0.25      0.94      0.00      0.00      0.00
  9  2 28 17     -3.75    -19.92    199.19      0.00     26.42     -7.75    451.68     23.34     21.62     -0.25      0.94      0.00      0.00      0.00
